Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
课程查询gateway+content,60000,303,9,6568,329.14,0.000%,645.91138,1159.60,88.94,1838.4
总体,60000,303,9,6568,329.14,0.000%,645.91138,1159.60,88.94,1838.4
