Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
课程查询gateway+content,60000,68,12,9265,400.25,0.000%,2538.07107,4555.91,349.48,1838.1
总体,60000,68,12,9265,400.25,0.000%,2538.07107,4555.91,349.48,1838.1
